"Treatment" "Replicate" "Transfer" "Total_count" "Fraction_Yellow" "Fraction_Red" "Fraction_Orange" "Fraction_Blue" "Experiment" "Ratio"
"C" "5" 3 6533 0.3413439461197 0.229603551201592 0.0223480789836216 0.406704423695086 1 NA
"CM" "5" 3 4160 0.695913461538462 0.225480769230769 0.0346153846153846 0.0439903846153846 1 NA
"F4" "1" 3 6549 0.967628645594747 0.00259581615513819 0.000916170407695831 0.0288593678424187 1 NA
"C" "1" 3 7028 0.356431417188389 0.257541263517359 0.0229083665338645 0.363118952760387 1 NA
"CM" "1" 3 6852 0.719789842381786 0.164477524810274 0.0243724460011675 0.0913601868067717 1 NA
"C" "2" 3 6771 0.360212671688082 0.234381922906513 0.0149165559001625 0.390488849505243 1 NA
"CM" "2" 3 6504 0.698493234932349 0.214022140221402 0.029520295202952 0.0579643296432964 1 NA
"C" "3" 3 6806 0.281810167499265 0.232588892153982 0.011754334410814 0.473846605935939 1 NA
"CM" "3" 3 5239 0.679137239931285 0.225615575491506 0.03493033021569 0.0603168543615194 1 NA
"C" "4" 3 7201 0.359116789334815 0.28009998611304 0.0297180947090682 0.331065129843077 1 NA
"F1" "2" 3 5219 0.984479785399502 0.000574822762981414 0 0.0149453918375168 1 NA
"DM" "4" 3 5232 0.686353211009174 0.232607033639144 0.0374617737003058 0.0435779816513761 1 NA
"D" "5" 3 5664 0.556850282485876 0.345515536723164 0.0451977401129944 0.0524364406779661 1 NA
"DM" "5" 3 4531 0.68108585301258 0.240785698521298 0.032443169278305 0.0456852791878173 1 NA
"F2" "2" 3 6918 0.00115640358485111 0.955912113327551 0.000867302688638335 0.0420641803989592 1 NA
"D" "1" 3 7210 0.573647711511789 0.335783633841886 0.0393897364771151 0.0511789181692094 1 NA
"DM" "1" 3 4762 0.710205795884082 0.168206635867283 0.0125997480050399 0.108987820243595 1 NA
"D" "2" 3 5667 0.577730721722252 0.307570142932769 0.0277042526910182 0.0869948826539615 1 NA
"DM" "2" 3 5191 0.695819687921402 0.22153727605471 0.0263918320169524 0.0562512040069351 1 NA
"D" "3" 3 6346 0.528521903561298 0.373148439962181 0.0397100535770564 0.0586196028994642 1 NA
"DM" "3" 3 5891 0.652181293498557 0.248005432014938 0.0307248344932949 0.06908843999321 1 NA
"D" "4" 3 5870 0.549744463373083 0.349574105621806 0.0522998296422487 0.048381601362862 1 NA
"F3" "2" 3 4611 0.00997614400346996 0.926480156148341 0.00238559965300369 0.0611581001951854 1 NA
"AM" "9" 3 3591 0.228348649401281 0.689780005569479 0.0426065162907268 0.0392648287385129 1 NA
"A" "10" 3 4561 0.183512387634291 0.275597456698093 0.0197325147993861 0.521157640868231 1 NA
"AM" "10" 3 3287 0.209917858229388 0.700638880438089 0.0422878004259203 0.0471554609066018 1 NA
"F4" "2" 3 4570 0.959518599562363 0.00415754923413567 0.00087527352297593 0.0354485776805252 1 NA
"A" "6" 3 4627 0.181543116490166 0.25135076723579 0.0136157337367625 0.553490382537281 1 NA
"AM" "6" 3 3998 0.232616308154077 0.677588794397199 0.0352676338169085 0.0545272636318159 1 NA
"A" "7" 3 5514 0.192963365977512 0.260246644903881 0.0112441059122234 0.535545883206384 1 NA
"AM" "7" 3 4589 0.22837219437786 0.674003050773589 0.0398779690564393 0.0577467857921116 1 NA
"A" "8" 3 5285 0.224408703878903 0.222894985808893 0.01759697256386 0.535099337748344 1 NA
"AM" "8" 3 4106 0.286653677545056 0.630540672187043 0.0440818314661471 0.0387238188017535 1 NA
"A" "9" 3 4841 0.193555050609378 0.224333815327412 0.0121875645527784 0.569923569510432 1 NA
"F1" "3" 3 4984 0.953250401284109 0.0108346709470305 0.00321027287319422 0.0327046548956661 1 NA
"BM" "9" 3 2902 0.287732598208132 0.618538938662991 0.0406616126809097 0.0530668504479669 1 NA
"B" "10" 3 4074 0.353706431026019 0.549828178694158 0.053019145802651 0.0434462444771723 1 NA
"BM" "10" 3 4175 0.244550898203593 0.668263473053892 0.0452694610778443 0.0419161676646707 1 NA
"F2" "3" 3 5314 0.00884456153556643 0.951637184794881 0.00225818592397441 0.0372600677455777 1 NA
"B" "6" 3 5593 0.356338279992848 0.540675844806007 0.0595387091006615 0.0434471661004827 1 NA
"BM" "6" 3 3948 0.259878419452888 0.663880445795339 0.0329280648429585 0.0433130699088146 1 NA
"B" "7" 3 5474 0.376324442820607 0.523748629886737 0.0540738034344172 0.0458531238582389 1 NA
"BM" "7" 3 3782 0.222633527234268 0.681385510312004 0.0446853516657853 0.0512956107879429 1 NA
"B" "8" 3 4544 0.422095070422535 0.470950704225352 0.0451144366197183 0.0618397887323944 1 NA
"BM" "8" 3 3104 0.312177835051546 0.589561855670103 0.0573453608247423 0.0409149484536082 1 NA
"B" "9" 3 4268 0.41377694470478 0.490862230552952 0.0482661668228679 0.0470946579194002 1 NA
"F3" "3" 3 5118 0.00957405236420477 0.935521688159437 0.00390777647518562 0.0509964830011723 1 NA
"CM" "9" 3 2813 0.602204052612869 0.282260931389975 0.0579452541770352 0.0575897618201209 1 NA
"C" "10" 3 4471 0.365242675016775 0.219637664951912 0.028628942071125 0.386490717960188 1 NA
