"ttmt" "ID" "rep" "mercury" "Count.Y0" "Count.Y24" "Count.R0" "Count.R24" "RF_w" "RF_r" "RF_slope" "strain" "host" "host.label" "plasmid" "reference_host" "reference_host_label" "reference_plasmid" "reference"
"3A" "3A.H" 4 40 2561 596 2372 5100 1.70646246429048 2.22341947772898 -1.02164636052704 "SBW25d4242.dTomato pQBR57" "SBW25d4242" "dTomato" "pQBR57" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"3A" "3A" 4 0 2561 1450 2372 4194 1.28212609664062 1.13875570212915 -0.961224664511291 "SBW25d4242.dTomato pQBR57" "SBW25d4242" "dTomato" "pQBR57" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"3A" "3A.H" 2 40 2646 771 2271 4811 1.58830627987934 1.98380067070547 -1.01413636970385 "SBW25d4242.dTomato pQBR57" "SBW25d4242" "dTomato" "pQBR57" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"3A" "3A.H" 8 40 2508 744 2506 5216 1.57470793301978 1.94824283507019 -0.99407207953604 "SBW25d4242.dTomato pQBR57" "SBW25d4242" "dTomato" "pQBR57" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"3A" "3A.H" 1 40 2383 685 2569 4606 1.54505110622646 1.83053972210726 -1.0015028332905 "SBW25d4242.dTomato pQBR57" "SBW25d4242" "dTomato" "pQBR57" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"3A" "3A" 9 0 2351 1391 2372 4295 1.27412729113264 1.11853593091737 -0.910766932987202 "SBW25d4242.dTomato pQBR57" "SBW25d4242" "dTomato" "pQBR57" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"3A" "3A.H" 7 40 2301 738 2570 5379 1.5408719087978 1.87575184981887 -1.03339432182436 "SBW25d4242.dTomato pQBR57" "SBW25d4242" "dTomato" "pQBR57" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"3A" "3A.H" 6 40 2343 680 2624 5078 1.56332235628993 1.89731225253829 -1.01650093678316 "SBW25d4242.dTomato pQBR57" "SBW25d4242" "dTomato" "pQBR57" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"3A" "3A.H" 3 40 2180 593 2717 4609 1.55410558167447 1.83036834007957 -1.01573275129251 "SBW25d4242.dTomato pQBR57" "SBW25d4242" "dTomato" "pQBR57" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"3B" "3B" 7 0 2272 2438 2676 2846 0.998090939057458 -0.00892617279849617 1.67035247406075 "SBW25d4242.dTomato pQBR57" "SBW25d4242" "dTomato" "pQBR57" "SBW25" "YFP" "pQBR57d0059" "SBW25.YFP pQBR57d0059"
