ttmt,ID,rep,mercury,Count.Y0,Count.Y24,Count.R0,Count.R24,RF_w,RF_r,strain,host,host.label,plasmid,reference_host,reference_host_label,reference_plasmid,reference
4B,4B.H,5,40,2491,2015,2672,3510,1.110366997,0.484853823,SBW25d4242.dTomato pQBR57d0059,SBW25d4242,dTomato,pQBR57d0059,SBW25,YFP,pQBR57d0059,SBW25.YFP pQBR57d0059
4B,4B.H,6,40,2334,2153,2720,3395,1.066835366,0.302393196,SBW25d4242.dTomato pQBR57d0059,SBW25d4242,dTomato,pQBR57d0059,SBW25,YFP,pQBR57d0059,SBW25.YFP pQBR57d0059
4B,4B.H,7,40,2366,2027,2643,3536,1.100151168,0.445725407,SBW25d4242.dTomato pQBR57d0059,SBW25d4242,dTomato,pQBR57d0059,SBW25,YFP,pQBR57d0059,SBW25.YFP pQBR57d0059
4B,4B.H,8,40,2659,2355,2276,3088,1.095124053,0.426513501,SBW25d4242.dTomato pQBR57d0059,SBW25d4242,dTomato,pQBR57d0059,SBW25,YFP,pQBR57d0059,SBW25.YFP pQBR57d0059
4B,4B.H,9,40,2277,1927,2756,3664,1.101766883,0.451669491,SBW25d4242.dTomato pQBR57d0059,SBW25d4242,dTomato,pQBR57d0059,SBW25,YFP,pQBR57d0059,SBW25.YFP pQBR57d0059
4B,4B.H,10,40,2306,1874,2721,3740,1.119499214,0.52552539,SBW25d4242.dTomato pQBR57d0059,SBW25d4242,dTomato,pQBR57d0059,SBW25,YFP,pQBR57d0059,SBW25.YFP pQBR57d0059
4C,4C,1,0,2577,2533,2574,2664,1.011244503,0.051589204,SBW25d4242.dTomato pQBR57d0059,SBW25d4242,dTomato,pQBR57d0059,SBW25d4242,YFP,pQBR57,SBW25d4242.YFP pQBR57
4C,4C,2,0,2292,2293,2855,2919,1.004718824,0.021733044,SBW25d4242.dTomato pQBR57d0059,SBW25d4242,dTomato,pQBR57d0059,SBW25d4242,YFP,pQBR57,SBW25d4242.YFP pQBR57
4C,4C,3,0,2221,2488,2959,2683,0.955191515,-0.211437432,SBW25d4242.dTomato pQBR57d0059,SBW25d4242,dTomato,pQBR57d0059,SBW25d4242,YFP,pQBR57,SBW25d4242.YFP pQBR57
4C,4C,4,0,2750,2486,2486,3156,1.07538586,0.339556328,SBW25d4242.dTomato pQBR57d0059,SBW25d4242,dTomato,pQBR57d0059,SBW25d4242,YFP,pQBR57,SBW25d4242.YFP pQBR57
